artist_id,normalized_name,display_name
1,10thannualdearjackbenefit,10th Annual Dear Jack Benefit
2,12stones,12 Stones
3,13thannualdearjackbenefit,13th Annual Dear Jack Benefit
4,19wheels,19 Wheels
5,1997,1997
6,22jacks,22 Jacks
7,311,311
8,4albums2nitesmotioncitysoundtrack,4 Albums/2 Nites: Motion City Soundtrack
9,40minutefinish,40 Minute Finish
10,7seconds,7 Seconds
11,,?
12,a,A
13,ahipabduction,A Hip Abduction
14,aaronsprinkle,Aaron Sprinkle
15,absintheblind,Absinthe Blind
16,academyisdude,Academy is dude
17,acceptance,Acceptance
18,adair,Adair
19,adamduritzwithdavegibbs,Adam Duritz with Dave Gibbs
20,aerosmith,Aerosmith
21,afi,AFI
22,afterfivelive,After Five Live
23,againstme,Against Me
24,agesandages,Ages and Ages
25,air,Air
26,airbornetoxicevent,Airborne Toxic Event
27,alabamashakes,Alabama Shakes
28,alanismorissette,Alanis Morissette
29,albertacross,Alberta Cross
30,alexlahey,Alex Lahey
31,alinabaraz,Alina Baraz
32,alisonkrausseunionstation,Alison Krausse & Union Station
33,alkalinetrio,Alkaline Trio
34,allgetout,All Get Out
35,allmanbrothersband,Allman Brothers Band
36,altj,Alt J
37,amazingtransparentman,Amazing Transparent Man
38,americanenglish,American English
39,americanhfi,American H-Fi
40,americanhifi,American Hi-Fi
41,americanpearl,American Pearl
42,amici,AMICI
43,andersonpaak,Anderson Paak
44,andersonpaakthefreenationals,Anderson.Paak & the Free Nationals
45,andrewmcmahon,Andrew McMahon
46,andrewmcmahonfriends,Andrew McMahon & Friends
47,andrewmcmahoninthewilderness,Andrew McMahon in the Wilderness
48,angelolsen,Angel Olsen
49,angelsairwaves,Angels & Airwaves
50,annielennox,Annie Lennox
51,anr,ANR
52,anxious,Anxious
53,arcadefire,Arcade Fire
54,arcticmonkeys,Arctic Monkeys
55,arizona,Arizona
56,armslength,Arm’s Length
57,astallaslions,As Tall As Lions
58,asherroth,Asher Roth
59,atariteenageriot,Atari Teenage Riot
60,athenaeum,Athenaeum
61,atlasgenius,Atlas Genius
62,atmosphere,Atmosphere
63,atrocitygirl,Atrocity Girl
64,audacybeachfestival,Audacy Beach Festival
65,audiovent,Audiovent
66,augustpremiere,August Premiere
67,augustana,Augustana
68,aviddancer,Avid Dancer
69,b52s,B-52's
70,backdrop,Back Drop
71,badreligion,Bad Religion
72,badronald,Bad Ronald
73,band,band
74,bandofhorses,Band of Horses
75,bandofskulls,Band of Skulls
76,bandcamp,Bandcamp
77,barenakedladies,Barenaked Ladies
78,bbking,BB King
79,beachhouse,Beach House
80,bearhands,Bear Hands
81,beautyschool,Beauty School
82,beck,Beck
83,beerbash,Beer Bash
84,benfolds,Ben Folds
85,benfoldsfive,Ben Folds Five
86,bengibbardjayfarrar,Ben Gibbard & Jay Farrar
87,benharperandtherelentless7,Ben Harper and the Relentless7
88,benlee,Ben Lee
89,benquad,Ben Quad
90,bestcoast,Best Coast
91,betteroblivioncommunitycenter,Better Oblivion Community Center
92,betterthanezra,Better Than Ezra
93,bettieserveert,Bettie Serveert
94,bigaudiodynamite,Big Audio Dynamite
95,bigboi,Big Boi
96,biggrams,Big Grams
97,bighello,Big Hello
98,bikelock,Bikelock
99,billyjoel,Billy Joel
100,birthday,Birthday
101,blacklab,Black Lab
102,blackmountain,Black Mountain
103,blah,blah
104,bleachers,Bleachers
105,bleu,Bleu
106,blindboysofalabama,Blind Boys of Alabama
107,blindpilot,Blind Pilot
108,blindpilotwithorchestra,Blind Pilot with Orchestra
109,blink182,Blink 182
110,blitzentrapper,Blitzen Trapper
111,bloodhoundgang,Bloodhound Gang
112,bluestraveler,Blues Traveler
113,bobdylanandhisband,Bob Dylan and His Band
114,bobmoses,Bob Moses
115,bombpop,Bomb Pop
116,boniver,Bon Iver
117,bonnieraitt,Bonnie Raitt
118,bostonmanor,Boston Manor
119,boundtochange,Bound to Change
120,bradfordreedandhisamazingpencilina,Bradford Reed and his Amazing Pencilina
121,brandnew,Brand New
122,brandicarlile,Brandi Carlile
123,brasstracks,Brass Tracks
124,breesharp,Bree Sharp
125,brianvanderark,Brian Vander Ark
126,brickmortar,Brick + Mortar
127,brighteyes,Bright Eyes
128,brightlightsocialhour,Bright Light Social Hour
129,brigittecallsmebaby,Brigitte Calls Me Baby
130,brucehornsby,Bruce Hornsby
131,brucespringsteentheestreetband,Bruce Springsteen & the E Street Band
132,buckcherry,Buckcherry
133,buddyguy,Buddy Guy
134,buddyrobinson,Buddy Robinson
135,buffalotom,Buffalo Tom
136,bully,Bully
137,bunburymusicfestival12,Bunbury Music Festival ’12
138,bush,Bush
139,butchwalker,Butch Walker
140,butchwalkertheblackwidows,Butch Walker & the Black Widows
141,butchwalkertheletsgoouttonites,Butch Walker & the Lets Go Out Tonites
142,cagetheelephant,Cage the Elephant
143,cake,Cake
144,capitalcities,Capital Cities
145,cardigans,Cardigans
146,cartel,Cartel
147,carypierce,Cary Pierce
148,cathyrichardson,Cathy Richardson
149,cavashawn,Cavashawn
150,cedarcase,Cedarcase
151,ceelogreen,Cee Lo Green
152,cemeterysun,Cemetery Sun
153,chancetherapper,Chance the Rapper
154,chaperones,Chaperones
155,charlesbradleyhisextraordinaires,Charles Bradley & his Extraordinaires
156,charlybliss,Charly Bliss
157,cheaptrick,Cheap Trick
158,chevelle,Chevelle
159,childishgambino,Childish Gambino
160,chipotlecultivatefestival14,Chipotle Cultivate Festival ‘14
161,chrisgilmartin,Chris Gilmartin
162,cibomatto,Cibo Matto
163,citizencope,Citizen Cope
164,cityriots,City Riots
165,claud,Claud
166,closeenough,Close Enough
167,cocoroise,Cocoroise
168,colbycallet,Colby Callet
169,coldwarkids,Cold War Kids
170,coldplay,Coldplay
171,collectivesoul,Collective Soul
172,conoroberst,Conor Oberst
173,couch,Couch
174,countingcrows,Counting Crows
175,countingcrowswithaugustana,Counting Crows with Augustana
176,countingcrowswithaugustanaandmichaelfrantispearhead,Counting Crows with Augustana and Michael Franti & Spearhead
177,cracker,Cracker
178,crashkings,Crash Kings
179,creed,Creed
180,crossroadsguitarfestival,Crossroads Guitar Festival
181,crystalcastles,Crystal Castles
182,cypresshill,Cypress Hill
183,cytrus,Cytrus
184,daleearnhardtjrjr,Dale Earnhardt Jr Jr
185,damianjrgongmarleynas,Damian ‘Jr Gong’ Marley & Nas
186,dandeacon,Dan Deacon
187,darlahood,Darlahood
188,datanightouttc15,Data Night Out TC15
189,davematthewsband,Dave Matthews Band
190,davidbyrne,David Byrne
191,davidford,David Ford
192,davidgray,David Gray
193,davidschultztheskyline,David Schultz & the Skyline
194,dawes,Dawes
195,daysofthenew,Days of the New
196,daytrotterbarnraiseriii,Daytrotter Barnraiser III
197,delasoul,De La Soul
198,deathcabforcutie,Death Cab for Cutie
199,dee1,Dee-1
200,deertick,Deer Tick
201,deerhunter,Deerhunter
202,deltaspirit,Delta Spirit
203,derektrucksband,Derek Trucks Band
204,derektruckswithsusantedeschi,Derek Trucks with Susan Tedeschi
205,dexterfreebish,Dexter Freebish
206,dickprall,Dick Prall
207,disclosure,Disclosure
208,dishwalla,Dishwalla
209,djkoze,DJ Koze
210,dnchopefundraiser,DNC Hope Fundraiser
211,dodivisionstreetfestival,Do Division Street Festival
212,dogsundecided,Dogs Undecided
213,dom,Dom
214,dominickmiller,Dominick Miller
215,donnamissal,Donna Missal
216,dovetailjoint,Dovetail Joint
217,doylebramhallii,Doyle Bramhall II
218,drdog,Dr Dog
219,drteeththeelectricmayhem,Dr Teeth & the Electric Mayhem
220,drivebytruckers,Drive-By Truckers
221,dropkickmurphys,Dropkick Murphys
222,drugchurch,Drug Church
223,duranduran,Duran Duran
224,dustforlife,Dust for Life
225,dynamitehack,Dynamite Hack
226,ecceshnak,Ecce Shnak
227,echoandthebunnymen,Echo and the Bunnymen
228,edsheeran,Ed Sheeran
229,edsheerantour,Ed Sheeran: - Tour
230,eddiekoalyczyk,Eddie Koalyczyk
231,eddievedder,Eddie Vedder
232,ediebrickellthenewbohemians,Edie Brickell & the New Bohemians
233,edwardsharpethemagneticzeros,Edward Sharpe & the Magnetic Zeros
234,eggy,Eggy
235,elbow,Elbow
236,electricbeethovenacidtest,Electric Beethoven Acid Test
237,eliotmorris,Eliot Morris
238,elviscostellotheimposters,Elvis Costello & the Imposters
239,emf,EMF
240,eminem,Eminem
241,empireofthesun,Empire of the Sun
242,empires,Empires
243,empreyaen,Empreyaen
244,engine88,Engine 88
245,erasure,Erasure
246,ericclapton,Eric Clapton
247,ericclaptonwithstevewinwood,Eric Clapton with Steve Winwood
248,ethyline,Ethyline
249,eve6,Eve 6
250,everclear,Everclear
251,everlast,Everlast
252,everybodywasinthefrenchresistancenow,Everybody was in the French Resistance... Now!
253,exies,Exies
254,ezrafurmantheharpoons,Ezra Furman & the Harpoons
255,ezrafurmanandtheharpoons,Ezra Furman and the Harpoons
256,facefirst,Face First
257,fangisland,Fang Island
258,farewellcontinental,Farewell Continental
259,fastball,Fastball
260,fatbanana,Fat Banana
261,fictionplane,Fiction Plane
262,firstcityfestival14,First City Festival ‘14
263,fishbone,Fishbone
264,fitzthetantrums,Fitz & the Tantrums
265,fitzandthetantrums,Fitz and the Tantrums
266,fiveforfighting,Five For Fighting
267,fiveforfightning,Five For Fightning
268,flaminglips,Flaming Lips
269,flashypython,Flashy Python
270,fleetfoxes,Fleet Foxes
271,flick,Flick
272,floggingmolly,Flogging Molly
273,flume,Flume
274,flygoldeneagle,Fly Golden Eagle
275,fono,Fono
276,foofighters,Foo Fighters
277,fosterthepeople,Foster the People
278,fosterthepeopletorches10thanniversary,Foster the People: Torches 10th Anniversary
279,foxyshazam,Foxy Shazam
280,freeenergy,Free Energy
281,freestylers,Freestylers
282,frightenedrabbit,Frightened Rabbit
283,fullrange,Full Range
